comentario;titulo;etiqueta
A los 3-4 dias dd haber llegado el telefono, la camara trasera dejo de funcionar. Me puse en contacto con ellos para tramitar un cambio, pero me pedian que devolviera este primero y luego ellos me mandaban otro, por lo que me quedaba sin movil, creo que lo mas conveniente es igual que viene el mensajero a traerme uno nuevo, a ma vez que se lleve el estropeado... no me podia quedar sin movil ya que solo tengo este y lo necesito. A dia de hoy todavía ando con el movil sin camara trasera... un desastre. NO LO RECOMIENDO PARA NADA!;Camara trasera rota;negativo
Es de buena calidad, ya tenia una igual pero d menor tamaño. Lo q pasa es q viene mal embalada y traia algún golpe aunque al ser por fuera me la voy a quedar. Pero papel y un simple plástico.....una caja lo protegería mejor aunque también es cierto q esta muy bien de precio la de 26cm por unos 15€.;Buen tamaño, mal embalada;negativo
La única pega que le encuentro es que es demasiado hondo para las bolsas e orgánica y tengo que ponerle una base con la consiguiente dificultar para lavarlo.;Practico;positivo
El control remoto en algunos menús no funciona bién. Lo he solucionado con un tecado + ratón bluetooth. Se echa en falta algún USB más. Por lo demás el producto funciona perfecto.;Buen rendimiento;negativo
Articulo tal cual la descripción. Recomendable sin ningún tipo de problema. Envio rápido y paquete en perfecto estado. Volveré a comprarlo.;Bien;positivo
La tela de los dedos es un poco corta, o igual mis dedos son largos, la tela genial;Calcetines de dedos;positivo
Calidad precio perfecto;Calidad precio perfecto;positivo
Muy mala compra. Al pisar el pedal de sustain reproduce una nota a la vez, imposible de solucionar, probado con distintos pedales y teclados. Varios clientes sufren el mismo problema. He tirado el dinero gastado pues el tramite de la devolucion me ocasiona mas perdida de tiempo aún. Nefasto, amazon deberia de cuidar mas lo que vende en su web. Esto no es un simple fallo de fabricación.;compra nefasta;negativo
A ver, no se puede esperar mucho...... me gustaría que los cantos tuviesen un acabado mejor. Alguna pieza no encajaba correctamente y uno de los tableros vino abollado en una esquina. Hay opciones mejores por un precio similar en otras webs, pero el envío a domicilio es casi más costoso que el propio producto.;Por ese precio tienes lo que pagas;negativo
Es una biblia y punto no se han esmerado mucho en hacerla didáctica para los niños. Obligado a comprarla por el colegio pero hay mejores para enseñar a los niños la biblia.;Didactica no se pero para niños NO;negativo
No es un abrigo, es como una chaqueta pero queda perfecto, talla bien. Es bonito.;Chaqueta;positivo
Hace unas semanas he comprado bolsas de 120l que estaban PERFECTO . Muy robusta!! no puedo reordenar... por eso he pedido esta mi*rda. Si pones basura normal, rompes la bolsa! En ninguna manera puedes poner basura de jardin !!!!;material muy fino.... no resiste nada;negativo
Una historia bonita, de renovación y paz. Sin tramas complejas ni dramas ocultos. Un libro para disfrutar sin complicaciones y de fácil lectura..;Un libro sin complicaciones;neutro
No venían los ocho modelos que ponía en la descripción del producto, había muchos repetidos.;Repetidos.;negativo
A la semana dejo de funcionar;Mala calidad;negativo
Es firme y cómodo a la vez cuando es nuevo, luego con el tiempo se hunde un poco.;Firme pero cómodo;positivo
He de decir, que estuve a punto de devolver este artículo. Cuando recibí las zapatillas tuve la impresión de que se las habían enviado a antes primero que a mí, y esta persona las había devuelto, y me enviaron a mi de nuevo este artículo. Las botas estaban llenas de pelos blancos, de gato o de perro y los cordones también, por el resto no se notaba uso alguno. Pero me pareció una falta de profesionalidad, reenviar un producto en estas condiciones. Y la persona que antes las había probado, la falta de higiene y consideración por igual, al dejar que el producto se llenase de pelos. Por ser la primera vez que me ocurre esto con esta empresa le daré otra oportunidad, ya que por el resto de artículos adquiridos nunca me sucedió nada igual, pero es muy desagradable.;Lleno de pelos de gato o de perro.;negativo
Yo los uso para la PS4 y los auriculares en sí están bien, los materiales son buenos, aíslan el ruido perfectamente y se oye bien. El gran problema es que los controles de los auriculares están en la tarjeta de sonido y ésta no funciona. Obligatoriamente tienes que conectarlos con la PS4 apagada para poder activar y desactivar el sonido 7.1, si tocas las teclas de volumen se bloquea. Y hoy jugando, ni siquiera funcionaba la opción de silenciar el micrófono, lo cual es un gran inconveniente. Además, si los conectas al mando de la play, renuncias al sonido 7.1 y no puedes controlar el volumen ni silenciar el micrófono porque en los auriculares no hay ningún tipo de controlador.;Gran inconveniente;negativo
Pues no lo sé pues no a llegado es una pena esperando un mes y nada . . .. .;Rocio;negativo
Con respecto al producto parece de calidad y esteticamente es de buenos acabados, el tiempo dirá si ha sido una buena compra. Ahora bien el repartidor se ha negado a subirlo a casa, lo que puede ser un inconveniente para personas mayores o con problemas para cargar peso, no se quién será el responsable si el vendedor o SEUR como empresa de reparto, pero este hecho ha empeorado notablemente la experiencia de compra.;No lo suben a casa.;negativo
Cómodos y ajustables;Comodidad;positivo
Bastante bien en calidad y precio;Bastante bien;positivo
Los trozos de palo son excesivamente pequeños;Palo santo;negativo
Se despega en pocos días;No lo recomiendo;negativo
No tengo el edredón en mi casa, después de hacer el seguimiento vía mail durante una semana hoy me han cambiado el formato del correo y simplemente me dicen que me tengo que esperar unos días porque todavía viene de camino, me parece de vergüenza. Lo peor de todo es que no sé dónde está mi pedido ni lo que va a tardar en llegar. Tomaré las medidas necesarias, pero insisto no me parece de recibo cuando un artículo ya está pagado desde hace una semana y todavía no lo he recibido en mi casa.;Después de una semana no he recibido el pedido.;negativo
Me ha gustado el grosor de la esterilla para amortiguar articulaciones, pero resbala bastante con el sudor...;Resbala si sudas;negativo
No me ha llegado, en la agencia de transportes me dicen que sólo tienen un bulto registrado y en Amazon no es posible poner una reclamación, me da la sensacion que este producto no existe y el dinero cobrado lo he perdido. La tienda que lo vende es Amazon para mas inri, todo muy raro, no compraría nada en este vendedor.;NO RECIVIDO Y SIN RECLAMACIÓN;negativo
Pero que esperas con ese precio, si que deberian poner otro enganche y ya sería genial.;El enganche no es el mejor del mercado;positivo
Recibi bien, es apto para un niño de 2/3 años.ya que lo compre para mi nieto de 2años y medio, Unicamente la carga dura poco tiempo.;Ideal para un niño de 3 años;negativo
Mucho espacio y el grosor de la espuma no es suficiente. Dormimos en tienda con el y te clavas el suelo. Mejor y mas barato un hinchable.;Ocupa mucho espacio.;negativo
Le doy una estrella en mi caso concreto porque fue imposible conectarlo a un repetidor de la misma marca. Con otros router perfecto, buena conexión y tamaño mínimo. Un 10 por Amazon que me devolvió el dinero sin problema.;Buen producto pero.....;negativo
Es malísimo, no encaja y de mala calidas;Es mucho más grande;negativo
No esta mal, me gusta como deja el pelo rizo;Lo recomiendo;positivo
Las tijeras no sirven mucho, tuve que utilizar otras, el resto de los artículos perfectos.;Bueno;positivo
Son mucho más pequeñas de lo que aparece en la foto promocional. Me parece un engaño. Le doy dos puntos porque el plastico no parece muy malo y disparan bien.;Pequeñas;negativo
El enlace se produce de manera rápida y sencilla. Tener el botón en la punta del micrófono hace que lo pulses en ocasiones cuando lo sujetas, cortando alguna llamada, o activando el asistente de Google cuando menos te lo esperas... Creo que el botón es más cómodo que se encuentre en el auricular.;Enlaza perfectamente con mis terminales actuales;negativo
El sonido es bastante bueno, pero después de unas horas de uso el auricular derecho se dejó de oír. También decir que el tamaño del auricular es bastante grande para una oreja normal, pero no se cae. Una pena que no funcionen bien pero los voy a devolver y a comprar otros con los que estaba en duda y al final me decanté por estos.;Bueno sonido pero no funcionan bien;negativo
Envió rápido y fácil montaje es comoda;Buen precio calidad;positivo
Llego muy rápido y el transportista muy amable.;RAPIDEZ Y SERIEDAD;positivo
Lo primero que podrían tener más cuidado con el embalaje ,ya que el cristal va a pelo, Calidad precio está bien ,y fácil montaje eso sí ,para meter esos tacos ,mejor no poner nada, tacos de 6mm que solo valen para colgar cuadros sin peso, Lo dicho calidad precio buena pero deben mejorar en el embalaje y en los tacos de fijación a la pared;Queda bien y es fácil de montar.;positivo
Le ha costado que se vaya el olor, pero son muy comodas;Muy comodas;positivo
Muuy frágil he roto las 2 en menos de 2 meses con uso muy normal. Una la válvula al hincharlo y la otra si saber como...;muy fragil;negativo
Muy bonito pero la correa se ve un poco de mala calidad parece como lata;Su precio tendría q ser 15€;neutro
El precio es muy asequible pero por las opiniones esperaba mejor calidad de sonido , los agudos más o menos bien , pero los graves pura lata;Audio malo;negativo
Es super entretenido y ideal para jugar en familia a mi hija le ha encantado;Juego ideal;positivo
Tiene poco olor como a menta. Sin color. De textura ligera. Dejs el pelo limpio y brillante. Se nota q no lleva siliconas. En cuanto a la caída, no he notado nada en especial. No hace mucha espuma;Deja el pelo limpio;negativo
El pack en si esta muy bien y estoy contento con la compra,pero el cristal templado vino con un pequeño defecto de fabrica en la zona casi central,por lo que al ponerlo parece que se ha colado una pelusa, para gente como yo que son muy tiquismiquis esto es un poco molesto,pero el por lo demás bien,así que salvo ese fallo de fabricación,contento con la compra y la rapidez con la que vino.;No muy bien.;negativo
El sensor te detecta incluso a 6 o siete metros y se enciende aún estando fuera del pasillo. Por lo demás todo bien regulable mucha iluminación estupendo.;Funciona demasiado bien.;positivo
Un poco holguera y el iman no sujeta;Regular;negativo
Las muñecas son preciosas, llegaron en estupendo estado y son exactamente lo que yo habìa pedido. Totalmente recomendada su compra;En perfecto estado y correctamente embaladas;positivo
Me hubiera gustado poder entender mejor las instrucciones ,pero bueno a base de romper un par de fusibles y mirar internet lo he conseguido .por su funcionamiento perfecto;Buena compra;positivo
Es perfecto para perro o gato pequeñito de meses después se queda pequeño sino lo q si es precioso a mí no me sirvio;Pequeña cama;negativo
Cuestión de salud e higiene;Practicidad;neutro
Es para un regalo que ha encantado! Muy buen producto;El precio es bueno;positivo
Son grandes por no decir enormes, pero la construcción y los acabados parecen buenos. Pesan bastante y se nota, aunque las almohadillas hacen bien su trabajo. Aislan bastante bien, pero el sonido (al menos a mi) no me gustó nada y hasta me molestaba. En graves se venía a bajo al subir un poco el volumen distorsionando y los agudos molestaban de tantos que tiene. El 7.1 inexistente. La conexión solo acepta USB y limita bastante su uso. El Micrófono regular, y lo único bueno es que es extraible. La esponja del mismo se cae fácilmente. El RGB y varias funciones más van por software descargable.;Mucha apariencia y pocas nueces;negativo
Muy bonito, es exactamente igual que lo descrito;Muy bonito;positivo
usado dos dias en la playa sin hacer nada raro y se ha roto solo, para le precio que tiene es una kk de la vaca, no se lo recomiendo a nadie, la idea es buenisima pero la calidad del producto penoso;a durado dos dias;negativo
Tal como esperaba. Quizá tenía que haber cogido el de 2 m. Error mío;Buena compra;positivo
En principio todo perfecto, diseño buena imitación y sobre todo el funcionamiento como el original, total recomendación y en un día o dos en tu casa.;GENIAL;positivo
El producto bien. Es lo que es un bote de mustela Como cualquier otro. El envio no tanto, vino con retraso y un bote de los 2 que pedi desenroscado y perdiendo producto.;Josep;negativo
Exactamente igual que en la foto, la seguridad ante todo y la pulsera cumple todas las espectativas, a mi hija le encanta;Lidia;neutro
Llegó con las dos bases de la soldadura rotas. Devuelto en cuanto ha llegado.;Mala calidad;negativo
Queda bastante margen sin cubrir de la pantalla, sobretodo en los laterales.;Producto muy justito;negativo
Lo compré para jugar, tanto en pc como en la consola Nintendo Switch, y poder hablar con más jugadores. Cumple perfectamente su función en ambas situaciones. Mi hijo está encantado.;Buena compra;positivo
Agarran con fuerza pero la cabeza es un poco débil se dobla meterlas;Estan bien;positivo
"Los juguetes están bien y son de goma suave lo que les hace más agradables para los niños. No me gustó mucho las piezas de tres de ellos que van en la parte inferior y son las que hacen sonar a los muñequitos. Cuando los aprietas parece que quieren salirse. Pero el producto lo recibo con la caja y sin envoltorio que oculte lo que es. A mi modo de ver,creo que Amazon no debería de mandar los productos así porque nadie tiene porqué saber qué es lo que compro o cuáles son mis gustos o preferencias... Pienso que se debería ser más discreto ya que si fuese otro tipo de producto más """"comprometido"""" ya no lo compraría aquí";Juguete recomendable pero cuidado de que no se suelten las piezas plásticas que hacen que suenen.;negativo
"Compro el juego, la primera vez que las utilizo se rompe la 17, me quejo la devuelvo y me la cambian por una nueva; al año justo en vacaciones vuelvo a utilizar el mismo numero 17 y se vuelve a romper, pero ya no puedo devolverla ha caducado la fecha de posible devolución aunque en la web pone que tiene 10 años de garantía... INCREIBLE";lA SEGUNDA VEZ QUE SE ME ROMPE LA MISMA LLAVE 17,;negativo
Me ha gustado mucho, tenía un bolso ya que me pedía la jubilación a gritos, y no encontraba ninguno así de bandolera que me gustase, pero este sí me ha gustado. Puedes tener un powerbank dentro y te viene un cable para poder conectar un cargador USB. Muy util;Tiene conexión USB externa y es muy comodo;positivo
Esperaba que la silicona de la cara fuera más blandita para que pareciera más real,por el precio que tiene no puedes pedir un reborn,pero está bastante conseguida;El material de la cara es bastante rígido;negativo
He probado de configurar la cámara como 20 veces (o mas) y me he dado cuenta de que la versión de la cámara que me han enviado es la de Norteamérica (no la versión europea), pero por desconocer este detalle, tenía registrada la cuenta en Europa, como sería obvio. He tenido que crear una nueva cuenta en la zona de Norteamérica para poder registrarla dado que era imposible que diera por bueno el código QR-Code detectado . Además se desconecta continuamente del WIFI y no hay manera que reconecte de nuevo, por lo que hay que resetearla y registrarla de nuevo. Un desastre total. No sirve para nada.;Una cámara que hay que configurar en la zona geográfica correcta (¡cuidado con eso!);negativo
La compre pensando en la original pero el corazón cítrico se ha cambiado por uno de lavanda que no es de mi gusto. Como agua fresca de colonia. normal.;Retorno al pasado;negativo
No ha llegado el pedido aún... Después de casi una semana, me dicen que es posible que el pedido se haya perdido. Lo pedí por las buenas referencias que tenía y porque lo enviaban en pocos días y no ha llegado. Lo necesitaba para las vacaciones y ya no me lo puedo llevar. Ahora mismo, estoy muy decepcionada.;Perdido;negativo
El material del q está fabricado es muy débil y ya está roto de tanto abrir y cerrar y mo m refiero a la lupa sino al soporte.;Podría estar mejor.;negativo
Queda bastante bien en el mando;Se adapta bien;positivo
No sirve para nada. Lo compré porque vi millones de videos en Internet pero la verdad es que la punta es demasiado corta para utilizarlo en mayores. Bueno por lo meno no hace daño irreparables;No sirve para nada;negativo
Llevo unos meses y funcionan genial, por lo menos no se secan ni dan problemas de chip de compatibilidad como otros de otras marcas. Muy buen producto a un precio muy asequible.;Genial;neutro
Las ventosas aguantan lo justo por no decir que no aguantan peso.;No repetiría.;negativo
Cumple su función lo que es proteger el teléfono pero los botones son bien duras y no da un tacto agradable.;Celeste;negativo
He pedido una devolución porque la primera vez llego roto... y la segunda también!;Lo he pedido dos veces y las dos veces roto;negativo
El dvd está bien pero vino con la caja rota.;Vino con la caja rota;negativo
Los parches están fenomenal y el vendedor estupendo, en un primer momento no me llegó el paquete pero tras contactar con él, me lo enviaron de nuevo;Gran vendedor y buenos parches;negativo
Cumple su funcion aunque alguna vez la señal se perdido un poco. Buen produxto por ese precio;Buena rwlacion Calidad/precio;positivo
Con el ordenador me fuciona correctamente, pero no hay forma de hacerlo funcionar con los mobiles.;Si y no;negativo
Excelente por el dinero que pagas. La bicicleta es muy buena para la conducción ligera, pero no la recomendaría para ningún sendero de montaña, ya que no tiene suspensión. Fácil de ensamblar, pero si tiene problemas, simplemente eche un vistazo a YouTube y encontrará toda la ayuda que necesita.;Bueno por el dinero;positivo
Al poco tiempo de empezar a usarlo mi hijo de 11kg empezaron a aparecer marcas blancas en el asiento por desgaste del plástico. No se cuánto durará, pero la calidad deja bastante que desear.;Calidad del plástico mediocre;positivo
Es pronto para dar una opinión;La confianza;neutro
El pedido ha llegado bien y en su fecha, aparato normal, bueno para el precio que tiene;.;negativo
Se despegan al poco tiempo, no las recomiendo;Se despegan al poco tiempo;negativo
No es la panacea, pero si al niño le gusta ir encima es útil. Una vez instalado, se pone y quita rápido, y lo puedes plegar para que no moleste si el niño no lo está usando.;Funciona;negativo
Han encajado perfectamente y de buena calidad;Buena calidad;positivo
Contenta con las velas.Dan buena luz de ambiente que era para lo que las quería.La pena que no dan todas el mismo tono de luz.;Velas;positivo
Las cremalleras son muy malas, de hecho, una de ellas se rompió en el primer uso. No recomiendo su compra.;Mala calidad;negativo
Me gustado muchísimo;Super sexy;positivo
Un buen juego, un clasico que no puede fallar;Un clasico;negativo
Me compre esta botella en especial, por dos motivos, el primero por que el diseño me recordaba a las típicas botellas para la leche antigua y mola mucho y mola mucho, y el segundo es porque no es termo, y al no ser termo cuando la metes en la nevera enfría, si fuera termo, tendría aislamiento y el liquido del interior, a penas sufriría ningún cambio térmico, ya que yo me la he comprado para sustituir las botellas de plástico de la nevera para el agua o la leche y que así estén frías cuando quiera usarlas;El agua fresquita;negativo
Muy comodos. Facil de lavar. Desde que mi hijo tiene estos no se quiere poner otros. Yo estoy contenta con la compra. Posiblemente vuelva a comprar. La calidad es buena, se quedan pegadas a las piernas y no se suben.;Calzoncillos;positivo
Se rompen muy fácilmente, la potencia del iman es media. Mirar bien el tamaño que es muy pequeño y lo mismo no encaja para la utilidad que buscas.;Calidad regu;negativo
Los cojines están bien en cuanto calidad precio. En la fotografía me parecían que eran más blanco sin embargo son en un color crudo que no está mal tampoco y el dibujo lo encontré yo más nítido en foto;Siempre se acierta en Navidad dónde lo pongas;neutro
Sigo esperando a que el producto llegue, ya que nunca lo hizo y vamos para dos meses.... Me puse en contacto con el vendedor, respondieron que hubo un problema y volvían a mandarlo. Aún no ha llegado nada, tampoco AMAZON se ha puesto en contacto conmigo ni me han reembolsado nada, cuando te mandan mails como que se quedan con copias de los mensajes que mande y demás.... pero la realidad es que pasa el tiempo, no sé nada y encima me mandáis e-mail para que valore el producto.... De Risa vamos!!!! Y soy cliente PREMIUM.... creo que si esto lo lee AMAZON debería molestarse un poquito más en atender bien a sus clientes....;NO HE RECIBIDO MI PEDIDO AÚN, y está reclamado. VERGONZOSO;negativo
No limpia bien y encima tiene como un agujerito que te pellizca al cepillarte;No me gusta;negativo
esta bien por el precio, pero es totalmente imposible dormir con el, en cuanto mueves un centimetro la mano, se ilumina muchisimo y te despierta, es incomodo para la noche e inutil, deberia tener un programa de noche para que no se iluminara;reloj;negativo
son cómodos la realidad pero el problema es la carga uno tiene una durabilidad de batería mas que el otro las gomas para poder adaptarlas a la oreja no son de todo útiles... por otra parte el sonido no es el mejor hay en el mercado mas económicos con mas calidad de audio;podrian estar mejor;negativo
No lo recomiendo para nada, no se queda enganchado en las esquinas del colchón, por lo tanto no sirve de nada.;Nefasto;negativo
Es una tostadora. Pero es de materiales buenos. Un poco grande quizás pero para tener los lados frios es necesario. Tuesta uniforme y en general me siento satisfecha con la compra.;Buena bonita y a buen precio;positivo
Empezó muy bien, robusto como el solo. Las prestaciones una pasada. Pero fallaba algo. Se apagaba solo cuando quería y era muy de continuo. Lo he tenido que devolver a amazon.;Devuelto.;negativo
El pedido contenía un lote de 5 bombillas de las cuales una no funcionaba. Devolví el lote (Sin problemas) y lo pedí de nuevo. Podrían mejorar el control de calidad del producto. Ahorraríamos todos tiempo y dinero.;Control de calidad deficiente;negativo
La calidad es peor que antes y la pata es mucho más corta que en la foto.;No son como antes;negativo
Cumple con lo esperado. Para mi talla de 178 cm, es idónea. No le doy 5 estrellas, porque hace un poco de ruido. En general, es idónea y perfecta. La recomiendo.;Calidad-precio, inmejorable;positivo
me ha llegado a tiempo pero la batería no tiene el tamaño correcto de hecho me costo meterla en el teléfono, ademas la parte inferior se rompió nada mas poner la batería, solo espero que dure y funcione bien.;bateria no tiene el tamaño correcto;negativo
"Se ha roto a los 10 minutos de uso. La función de ventilador ya no funciona; solo la de spray";Baja calidad;negativo
BUEN RELOJ PERO MALA TECNOLOGÍA.... El reloj tenía muy buena pinta, lo compré para una persona que lo quería.... pero al final lo barato marca la diferencia por lo menos en este caso... Quería un reloj que pueda sincronizar los mensajes de Whatsapp y todo lo demás, pero para nuestra sorpresa este reloj necesita de una tarjeta SIM extra.... Deberás sacar un duplicado de la tarjeta SIM de tu teléfono movil para poder leer los mensajes en el reloj... Si no necesitas leer los mensajes en el reloj te lo recomiendo, pero en caso que quieras tener sincronizado el reloj y tu teléfono deberías buscar otro modelo.....;Totalmente decepcionado.... Necesitarás de otra tarjeta SIM....;negativo
Aparentemente la cabeza de conexión es estándar y no debería haber problema pero en mi caso me ha sido imposible colocarla en una caladora Tacklife, entra hasta el tope pero no queda sujeta, en cuanto intento usarla sale disparada. Puesto que las otras hojas que tengo si queda sujetas supongo el fallo está en la hoja y no en la máquina, tal vez en otros modelos de máquinas no haya este problema.;Inutilizable;negativo
El plástico es muy fino, los recipientes redondos cuando se les pone la tapadera, no se mantienen en pie.;Peor de lo que parece;negativo
Mas pequeño de lo esperado y además las cerdas son de silicona;Mas pequeño de lo esperado;negativo
Muy amplio y práctico.;CORRECTO;positivo
Ahora con las vacaciones y los viajes me viene genial este conjunto de candados con combinación, justo lo que queria, y encima etiquetas para que nadie se confunda de maleta...empezando por mi, que soy muy despistada y mas de una vez me he cogido de la cinta una que no era mía. Es bueno, bonito y barato. Lo que buscaba.;muy practico para viajar;positivo
no sujeta bien el móvil y encima me vino con un arañazo;algo decepcionado;negativo
El pedido llegó en el periodo acordado. La luz alumbra mucho. Lo malo es la batería, después de cuatro usos, en una salida me ha durado unos 50 minutos y me he quedado sin luz a 20 km de casa. Un desastre! Voy a reclamar ya.;Batería de mala calidad.;negativo
Nada,pésimo. No tiene memoria aún anunciando que tiene 8gb. No vale para nada ,no puedes ni descargar una aplicación porque no reconoce ni una tarjeta sd. No lo compréis !!!;Horror;negativo
No me ha gustado mucho baja calidad y no encaja muy bien el el reposa vasos del coche;Malo;negativo
Se desmonta enseguida y se ha rajado la parte de plástico, una decepción. Se cae con facilidad. Ya no se puede usar;Mala calidad;negativo
Divertido para hacerlo junto al peke. Lleva tiempo el ensamblaje de las piezas.;Accesorio educativo;positivo
Todo bien lo que esperaba;Todo bien lo que esperaba;positivo
Me encanta este cobertor. Es un plástico de burbujas más fuerte que el de embalar que lleva unos pequeños agujeros para cuando llueva el agua no se quede embalsada arriba. Hace que la temperatura del agua se conserve y durante el día calienta el agua de las capa superficial. Y eso se agradece para las personas que como yo, no nos guste el agua tan fría. Además evita que entre tanta suciedad a la piscina.;Genial. La mejor compra del verano.;negativo
No sirve se afloja con el peso del movil;No va;negativo
Recibí la tablet antes de lo esperado, la descripción del producto corresponde con el artículo, la calidad dela imagen para mí es buena, la batería dura muy poco;EN general bien;positivo
Va genial contra las rojeces y picores en la cara;Buenísima compra;positivo
seguro que es culpa mía...no sabía que con las gafas polarizadas no se ve el GPS. las necesitaba para las rutas BTT en el sur de España..asi que están guardadas y sin uso desde la primera ruta en que las probé;no se ve el GPS;negativo
"Lo compre para conectar un lector de DVD interno de PC de los grandes y no funciona. Lo he probado con el disco duro de un portátil de 2,5"" y tampoco funciona.";No funciona.;negativo
Es rápido y silencioso, lástima que falló el boton on/off y windows 10, dejó de fincionar. Lo devolví.;Calidad acorde al precio;negativo
AUNQUE CORTAN BIEN EL HILO ES POCO RESISTENTE SE PARTE CON FACILIDAD;POCO RESISTENTE;positivo
Cumple con las especificaciones y ahorra bastante trabajo a la hora de secar superficies lisas. Hay que tener cuidado al moverlo en horizontal porque se sale el agua. El tema de la pila que haya que sacarla y meterla en un cargador es un atraso y una pérdida de tiempo.;Cumple con lo especificado;positivo
En 7 meses ha dejado de funcionar. Lo habré usado unas 10 veces, y cada uso no ha estado Encendido mas de 15 minutos. Calidad muy deficiente.;Producto de calidad deficiente;negativo
Es un producto mal acabo, como mínimo el mío. parece que se tiene que romper y la parte del velcro poco le falta (la tira de sujeción) Pero este softbox tiene posibilidades si eres un poco manitas. Tengo un review hecho. si queréis os paso el link ya que no me lo deja pegar.;Mala valoración pero tiene remedio;negativo
Me gusta casi todo, pero me parece un poco fina;El precio es muy bueno;positivo
Se calienta demasiado y huele a quemado con las Dos resistencias;Mala calidad;negativo
Es bonita pero demasiado fina de grosor;Descontenta;positivo
Resulta complicado conocer el funcionamiento exacto del aparato, en ciertas ocasiones enciendes el electroestimulador y funciona, sin embargo, en otras ocasiones ,siguiendo los mismos pasos, no funciona. El manual de instrucciones no aclara por el motivo de esto.;Cumple su función cuando quiere funcionar.;negativo
El producto en sí no está mal. Pero deja bloqueada la consola. Una vez en uso tengo que estar quitándolo puesto que hace que los mandos se apaguen. Y no respondan;Bloquea la consola;negativo
La verdad que no está mal para gatos pequeños pero para gatos adultos no sirve es más bien pequeño y además las cuerdas no duran mucho.;Regular;negativo
Por ese precio no se puede pedir más, cumple con su cometido, es un poco pequeña de diámetro, pero como digo cumple bien con su función, se enreda de vez en cuando porque es un poco blanda y se aplasta con facilidad...;Cumple con su función;negativo
